label,text
0,﻿啊呀呀！要死啦！么么么！只穿外套就好了，我认为里面那件很多余啊周小伦喜歡 你各種 五角星的項 鏈 和露胸的衣服XD 伦伦啊，你真的是越来越帅了·····
0,嗯……既然大姚通知了……那我也表示下收到……姚，你知道吗？假如外星人入侵地球，只要摧毁我们的网络，地球就完蛋了！我恐惧的望着她，越看越觉得阿粥就是外星人，她一定是想让我写微薄通知一下大家。。。
0,风格不一样嘛，都喜欢！最喜欢哪张？
0,好呀，试试D .I .Y .去死皮面膜1.将燕麦片加水中浸泡6小时，加入木瓜牛奶搅拌。2.放入一个压缩纸面膜。3.敷于脸上10～20分钟，清水洗净。可以改善粗糙肌肤，去除死皮，使肌肤光滑。
0,张老师，谢谢侬的信任！粉丝多少无所谓重在质地近日发现一个现象——他加了你关注，你回加后，他立即取消对你的关注。这是为什么呢？——我的回应是，立即取消对他关注。
0,喜欢苹果IPHONE4 。功能强大，时尚，手机功能多。沃爱平谷第二轮活动开始啦！12月5日12时前，关注至少五位好友就有机会获得这台伊莱克斯咖啡壶啦！一共有十个名额哦，赶快加入吧！但愿能在这寒冷的冬日给您送上一份温暖与芬芳。
0,回覆嗯~ 很幸福！以后我也要这样……今晚和一个本地人去了一个cafe ，到了之后他和我说这儿的老板是一对GAY ，然后我跑去看这一对，哎，好幸福啊！一起幸福的经营者一家超有feel 的cafe ，羡慕死了！今晚很开心！
0,书读多了未必都是好事呀，很多人都教条主义了，变成书呆子一个啊。。。。笑死我了！好一对新生代对联！愿读服输争当精品，是珍珠，必会发光。好一对新生代对联！博士生，研究生，本科生，生生不息！下联：上一届，这一届，下一届，届届失业！横批：愿读服输via 财经在线
0,哟！这不一对孪生好兄弟么？！
0,回复太牛了买房子送瓷砖呗！昨晚上经过中润，看到的一个立柱，价格应该不低，可是看了半天也没看明白诉求点是什么
0,开张大吉！祝贺买卖兴隆我家的酸辣粉小店开业了欢迎铁岭的朋友过来品尝啊在天玉的南门－－－－－巴郡酸辣粉
0,重庆人真的巨热情啊……
0,方大水你怎么可以这么萌这么有爱捏啊呜~ ~ 偶不要变成HC 不要呀~ ~
0,敬腾很high 啊~ ~ 敬騰 +JJ (thank you 菲比)
0,小身材跟我差不多。哇哈哈哈~ ~ 你真的很懂我口味~ ~ 莫名发现深圳97er 一枚……发觉自己真的很瘦。。。。。。完了！怎么才可以增肥！！！
0,每日一靓 咪，心情都好D ！
0,我喝了口水，了这个博。高手过招。冷
0,不笑到吐血你稳我啊笑到肚疼遇到这样的人质，劫匪大叔你应该赚到啦！干嘛那么矜持呢。。~
0,油的发亮啊~ ~ 再发两张8月4日成都见面会的高清私家帅照，绝对独家私人拍摄，呵呵。更多的，期待9月的重庆、成都演唱会吧！有脖友要去的吆喝一声啊，演唱会见！——阳光自信迷人的笑容
0,個 女仲笑淫淫果下甘先抵死: 哈哈啊哈！！！！！！！！！！！哥……轻点……
0,常思一二，不想八九！
0,这组大片里尚雯婕只是一个模特，她只管演绎很自信很健康的驾驭这些略显性感的时装-----尚，雯婕说到了，也做到了！她现在很自强，也很自信，我们不就是爱她这一点吗？我就是不但喜欢她的歌曲，还很欣赏她的这种人格魅力！一定要转，让不理解的好好看看“首先，我今天没有露到任何外人不能看到的位置；其次，我今天没有像艳星那样搔首弄姿；再者，我认为我的身材是可以很自信很健康的驾驭这些略显性感的时装的；最后，我从来都相信专业的团队会为我做出最好的选择与判断。所以，我只管把分内的事做好，术有专攻。”
0,这红毯 气质，太赞了。说得好！表情酷炫哇！尚雯婕表情酷炫！。
0,我至少看了3套这个2010World Cup 的Excel 模板，每一套都将比赛场地列举了上去。其实这个对于国内绝大多数球迷来说并不是最关心的。我们更加关心的是哪儿有直播，不管是网上的还是CCTV 的还是地方体育台的。要是能够把这个列出来，这才真是给广大球迷提供了方便。千万别雷同，做出特色来。打开WPS ，点击视图菜单下的首页。】
0,果然潇洒～原来“潇洒哥”进球后也是可以不在乎发型的
0,悬疑小说0.0
0,哈哈哈！“尊敬的用户，欢迎参加红色短信创作传播大赛，您的作品‘不要给老子发垃圾短信！’已受理，我们将在三个工作日内通知您审核结果。”
0,回复好啊！呵呵我可经常去重庆哦“豆腐鱼”爸妈弄的菜就是最美味的！！！
0,残月疏星晚风凉\ 寒窗清影徒悲秋\ 一缕愁情何以消\ 青樽浊酒醉天明大家，晚安
0,哪怕是假装读一下，更何况还是真读。能读《尤利西斯》的演员算是很有文化了读《尤利西斯》的玛丽莲·梦露。
0,最近手抖的兇 ...相片有點 糊..內 地的捧友們 見 諒 呀
0,同事说“哇噻 ”变身我飞~ ~
0,回复挺好的团团姐谢谢你支持我特别感动你们没有因为我的任性离开而抛下我~ 你终于回来了。调整的怎么样谝 股峡盏牧餍 侵站砍性夭涣颂 嗟 拿位谩 ?
0,回复好彩我无跟你去姐无错，一D 都吾好睇所谓的魔幻马戏，也不外如事。。
0,回复事虽小，道在其中矣。此话题太小了吧！-阳光911
0,淘宝2F 惊现“90后”……关注有惊喜。
0,回复主要素毛看过乃这角度的PP ，改天拍一张右边就不素啦？哈哈格子小西装& 美鞋
0,我也来一个：羊给老鹰打电话，打一成语.................................羊phone 鹰“喂？！”寒彻骨啊。。。“爱真的需要勇气，来面对六眼飞鱼”……(via @ 糗 事大百科)
0,这个眼镜颜色很吊啊！各黑石刺客們 ~ ~ 來 精武門 決 戰 一場 吧!!!
0,回复呵呵呵。。好。要不我会觉得你家孩子太幸福了。。其实家里的清洁干净应该让位于孩子的随心所欲。。为何。。我们不是口口声声说要为孩子创造一个适合于她们成长的环境吗。要用为孩子好这个终极目标来衡量和体认一切。。包括杂与乱。。我的私人看。。看法的看祝你家。天下的童心永远灿分享图片
0,处世低调乐观的人，总能收获意外的惊喜。一个低调的人，所走的人生每一步，都是在向上登攀。低调人的生活虽不风光，却十分惬意。恬静淡泊，健康开朗，乐观向上。。
0,对说：生日快乐啊~ 大寿星希望你早点减肥成功，这样万一哪天在路上被别人追着打的时候也好跑快点~ ！另外希望不开心的事情都不要围着你转，因为会被你烦死的~ 长命百岁，健康成长~ ！哈皮波斯呆吐呦~ ！
0,"时代女性歌手尚雯婕也非常支持29日世界粮食计划署的慈善晚会 不仅现场演唱歌曲，还赠送了她的专辑和译作。"
